瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),弥措 鉴埃 浅加(m/s),弥措 浅加(m/s),乞闭 浅加(m/s),乞闭 捞浇痢柯档(∑C),乞闭 刘扁拘(hPa),乞闭 泅瘤扁拘(hPa),乞闭 瘤搁柯档(∑C)
己魂,2015-12-06,8.7,6.5,9.9,9.6,4.8,2.4,3.6,7.9,1024.4,7.7
己魂,2015-12-07,8.3,6.2,11.4,11,6.2,3.9,2.4,7.3,1025.6,8
己魂,2015-12-08,8.1,5.3,11.4,12.7,7.3,3.8,2.3,7.2,1028.1,8.2
己魂,2015-12-09,13.7,5.8,18,6.9,4.1,2.2,8.6,11.3,1025.5,11.1
己魂,2015-12-10,15.9,13.8,17.3,13.6,9.1,3.5,15,17.1,1011.6,15.3
己魂,2015-12-11,11.2,9.2,13.8,13.8,8,4,6.7,9.9,1013.5,10.7
己魂,2015-12-12,12.9,11.4,14.1,11.9,6.6,4.1,7.3,10.2,1020,11.5
己魂,2015-12-13,14.1,11.4,16.5,7.2,4.8,2.5,6.9,10,1019.6,12.6
己魂,2015-12-14,13.8,11.7,15.4,9.3,5.6,3.6,10.2,12.6,1016.5,12.2
己魂,2015-12-15,10.2,7.3,12.5,12,6.1,3.4,4.6,8.7,1016.8,10.5
己魂,2015-12-16,4.9,0.9,8.5,14.2,8.2,4.4,-0.2,6,1019.4,5.3
己魂,2015-12-17,3.1,0.5,4.7,12.3,7,3.4,-1.5,5.5,1024.7,3.3
己魂,2015-12-18,5.2,3.3,7.5,7.3,3.9,1.7,0,6.1,1029.6,4.4
己魂,2015-12-19,5.8,1.8,10.5,6.8,4.1,2.5,-0.3,6,1031.3,6.8
己魂,2015-12-20,9.6,3.6,12.4,5.7,3.6,1.5,6.3,9.7,1025.5,7.9
己魂,2015-12-21,10.5,6.8,14.7,10.9,5.6,2.3,7.8,10.7,1023.4,10.2
己魂,2015-12-22,12.8,6.2,16.3,6.9,4.5,2.4,8.5,11.2,1023.1,11.2
己魂,2015-12-23,13.5,10.9,15.9,6.8,4.3,2.3,11.7,13.8,1017,13.3
己魂,2015-12-24,9,7.3,11.4,13.6,8.9,3.7,3.6,8,1016.6,8.7
己魂,2015-12-25,6.1,1.6,9.9,10.7,7.2,3.6,-0.4,5.9,1019.2,6.6
己魂,2015-12-26,9,1.1,13.6,8.5,5,2.6,2,7.1,1019.2,7.2
己魂,2015-12-27,5.7,3.2,8.4,13.6,7.5,3.3,0.4,6.4,1025.4,5.5
己魂,2015-12-28,4.9,3.3,7,11.9,6.7,3.5,-2.2,5.2,1029.3,4.6
己魂,2015-12-29,5.6,2.2,8,9.9,4.5,2.5,-1.6,5.4,1029.6,5.3
己魂,2015-12-30,6.7,3.2,10.7,6.1,3.6,1.9,-0.2,6,1027.1,6.2
己魂,2015-12-31,6.9,2.8,9.7,10.7,6,2.6,1.8,7,1027.9,6.1
己魂,2016-01-01,7.1,3.4,11.6,7.3,4,2.3,1.5,6.9,1028.9,6.2
己魂,2016-01-02,10.8,6.1,15.2,5.9,3.9,1.8,5.4,9,1021.5,8.6
己魂,2016-01-03,10.9,5.5,17.5,5.7,3.6,1.7,5.2,8.9,1017.8,10.8
己魂,2016-01-04,10.8,6.2,13.4,9.7,5.3,2.8,4.3,8.4,1019.5,9.4
己魂,2016-01-05,7.5,5.7,10.2,8.3,4.3,2.5,2.8,7.5,1021.6,7.2
己魂,2016-01-06,6.6,4.8,9.2,11.4,5.8,3,0.7,6.4,1021.1,6.2
己魂,2016-01-07,6.2,4.8,8.8,11.8,7.3,3,-0.5,5.9,1021.8,5.9
己魂,2016-01-08,4,2.8,7.1,10.6,6.4,2.3,0,6.2,1021.1,4.6
己魂,2016-01-09,5,1.3,9.1,8,4.7,2.3,-1.5,5.5,1023.3,5.2
己魂,2016-01-10,6.6,3.2,10.6,7.3,4.2,2,0.6,6.4,1023.4,5.8
己魂,2016-01-11,5.2,3,7,12.6,5.5,3.1,-2.6,5.1,1021.4,4.4
己魂,2016-01-12,4,2.7,6.4,11.2,5.7,3.4,-3.6,4.7,1020.2,4.4
己魂,2016-01-13,3.4,1.7,5.9,12.2,7.4,3.8,-2,5.3,1019.6,4.1
己魂,2016-01-14,4.6,1.8,8.1,10.8,6.2,2.7,-3.4,4.8,1019.9,5.1
己魂,2016-01-15,5.4,1.4,11.4,6.8,3.9,2.2,-0.8,5.8,1018.2,5.1
己魂,2016-01-16,7.2,3.3,12.4,6.4,4.3,2.5,2.2,7.2,1018.5,7
己魂,2016-01-17,8.9,5.8,11.4,11.4,7,2.7,6.8,10,1010.6,8.1
己魂,2016-01-18,2.9,-1.6,7.2,15.2,8.7,4.8,-1.5,5.6,1013.3,3.8
己魂,2016-01-19,0.1,-2,3,16.5,9.1,5.4,-4.6,4.3,1020.3,1.5
己魂,2016-01-20,1.5,0.6,4.1,11.5,5.3,3.2,-4.3,4.5,1025.9,1.8
己魂,2016-01-21,1.8,0.6,3.2,11.7,5.8,3.5,-3.6,4.7,1023.7,1.6
己魂,2016-01-22,2.2,0.5,4.4,11,5.6,3.4,-5.7,4,1025.5,1.8
己魂,2016-01-23,-1.9,-5.7,2.3,12.3,6.9,3.5,-5.2,4.2,1025.5,1.1
己魂,2016-01-24,-4.4,-6.9,-1.4,13.3,7.9,4.5,-7.6,3.5,1023.8,1
己魂,2016-01-25,0.2,-2.3,2.8,10.5,6,3.1,-2.6,5.1,1026.9,0.8
己魂,2016-01-26,4,1.4,7.1,11.1,6.7,2.9,-2,5.3,1026.5,2.3
己魂,2016-01-27,5.1,-0.6,8,5.1,3.4,1.4,-0.7,5.8,1027.5,2.7
己魂,2016-01-28,9,4.5,12.5,11.9,7.3,2.9,8.3,11.1,1021.4,7.5
己魂,2016-01-29,8.4,6.8,10.5,11.5,7,5.1,7.4,10.4,1017.8,8.7
己魂,2016-01-30,7.5,5.4,8.7,8.7,4.7,2.7,4.8,8.7,1021.6,7.2
己魂,2016-01-31,4.1,2.4,6.2,14.9,9.7,4.5,-0.9,5.7,1025,4.5
己魂,2016-02-01,2,0.9,4.4,13.8,7.5,4.1,-3.9,4.6,1024.9,2.6
己魂,2016-02-02,1.9,0.5,4.5,12.1,6.1,3.9,-4.7,4.3,1024.6,2.3
己魂,2016-02-03,3,0.5,6.3,10.8,5.9,3.4,-4.5,4.4,1025.3,3.4
己魂,2016-02-04,5.3,-0.5,9.6,10.3,6.4,2.8,-3.2,4.9,1023.9,3.9
己魂,2016-02-05,4.9,3.1,8.4,13.2,8,3.5,-2.6,5.1,1021,4.7
己魂,2016-02-06,3.4,2,6,15.1,7,3.7,-4,4.6,1020.7,3.4
己魂,2016-02-07,3,0.5,6.5,9.5,5,2.9,-4.1,4.5,1020.2,2.3
己魂,2016-02-08,7.1,-0.1,12.1,11.3,6.5,3.3,-3.2,4.8,1017.6,4.9
己魂,2016-02-09,8.1,1.6,13.3,10.8,6.3,3.1,-5.1,4.3,1020.7,7.4
己魂,2016-02-10,9.7,2.1,13.4,5.9,4,2.2,1.9,7.1,1023.2,9.4
己魂,2016-02-11,15.6,12.6,17.5,13.1,8.6,5.8,11.2,13.3,1021,12.6
己魂,2016-02-12,16.3,15,17,13.4,9.2,5.6,15.3,17.3,1014.9,14.9
己魂,2016-02-13,15.1,9.6,18.1,14.8,9.1,3.6,14.3,16.5,1006.6,15.6
己魂,2016-02-14,3.7,1.6,9.6,19.7,13,6.9,-1.1,5.8,1013.7,4.8
己魂,2016-02-15,0.2,-2,2.2,13,7.1,3.8,-3.6,4.7,1020.3,1.3
己魂,2016-02-16,4.8,1,8.3,12.2,7.3,4.2,-2.6,5,1019.6,4
己魂,2016-02-17,5.2,2.9,7.7,10.1,5.1,3.4,-2.7,5,1023.1,6
己魂,2016-02-18,7.1,1.1,11.6,12,7,3.3,-0.3,6,1022.8,5.7
己魂,2016-02-19,8.7,3.8,11.8,6.2,3.9,1.8,4.3,8.4,1023.9,7.3
己魂,2016-02-20,7.1,3.5,10,13.4,7.4,3.7,-0.6,6.1,1019.7,7.4
己魂,2016-02-21,4.2,-1.9,8.3,11.1,5.4,2.7,-3.8,4.6,1028,4.9
己魂,2016-02-22,5.7,4.1,10,6.3,3.8,1.7,1.9,7,1027.3,5.6
己魂,2016-02-23,6.6,2.9,10.9,11.1,5.9,3.1,-0.8,5.9,1026.1,7.5
己魂,2016-02-24,2.7,1.1,5.5,12.2,7.4,3.7,-5.5,4.1,1030.4,4.3
己魂,2016-02-25,3,0,6.7,12.4,6.4,3,-6.8,3.7,1032.6,4.2
己魂,2016-02-26,6.7,-1.3,12.1,10.5,7.3,3.2,-0.9,5.8,1027.8,5
己魂,2016-02-27,11.2,8.5,16.1,10.4,7.2,3.4,5.5,9.1,1022.5,10.2
己魂,2016-02-28,10.9,5.4,16.2,15.8,9.6,4.8,5.3,9,1019.5,10.5
己魂,2016-02-29,2.6,-0.6,5.7,15.3,8.7,4.6,-5.3,4.2,1024.7,4.2
己魂,2016-03-01,2.9,0.2,7.3,9.7,5.7,3,-4.9,4.2,1026.3,5.6
己魂,2016-03-02,7,0.9,12.6,8.8,6.3,3.4,0.3,6.3,1024.6,8
己魂,2016-03-03,11.9,6.7,16.2,9.2,6.4,3.4,7.8,10.9,1021.6,10.2
己魂,2016-03-04,16.1,12.2,19.2,10.5,6.9,3.3,13.4,15.4,1021.5,14.6
己魂,2016-03-05,16.3,14,18.4,12.9,7.4,4,15.1,17.1,1018.1,15.6
己魂,2016-03-06,13.4,8.5,17.1,10.3,6.2,1.9,9.1,11.9,1015.5,15.2
己魂,2016-03-07,13.4,7.7,17.6,6.3,4.4,1.6,11,13.5,1015.3,13.3
己魂,2016-03-08,10.1,6.2,14.4,12.8,8.3,4,6.5,9.8,1016.2,10.4
己魂,2016-03-09,5.8,3.2,9.1,14.4,8,5.3,0.4,6.5,1017,8.3
己魂,2016-03-10,3.3,1.5,6,16.8,8.2,5,-4.7,4.3,1021.6,4.6
己魂,2016-03-11,3.6,1.4,7,13.8,8,4,-5.6,4,1022.5,4.7
己魂,2016-03-12,4.9,-0.1,9.3,7.6,4.8,2.5,-4.2,4.6,1022.4,6.9
己魂,2016-03-13,8.4,4.2,10.8,8.3,5.5,2.2,4.8,8.6,1019,7.2
己魂,2016-03-14,6.9,4.4,9.7,12.9,6.5,3.3,0.7,6.5,1018.5,7.5
己魂,2016-03-15,8.3,3.7,12.3,7.5,4.7,2.4,1.9,7.1,1021,10.5
己魂,2016-03-16,10.6,5.2,15.5,4.9,3.5,1.6,4.4,8.4,1019.6,13.2
己魂,2016-03-17,13.2,5.3,17.7,5.7,4.1,2.1,9.3,12.2,1017.3,13
己魂,2016-03-18,14.8,13,16.6,9,5.5,2.4,14.1,16.1,1007.9,15.2
己魂,2016-03-19,13.1,8.5,19.2,12.3,7.5,4,6,9.6,1011.8,13.2
己魂,2016-03-20,11.6,7.4,16.5,9.6,6.1,2.9,6.7,9.8,1018,12.1
己魂,2016-03-21,11.1,5.9,15.3,7.8,4.9,2.6,5,8.8,1020.8,13.8
己魂,2016-03-22,10.7,5.2,16.3,8.6,6,2.8,5.2,8.9,1017.3,12.9
己魂,2016-03-23,9.8,6.2,15.3,14.2,7.7,4.4,0.7,6.5,1015.5,10.8
己魂,2016-03-24,8.2,5.5,11.7,12.3,6.6,3.9,0.7,6.4,1020.6,10.4
己魂,2016-03-25,8.1,5.6,12.1,8.6,5.4,3,2,7.1,1021.4,9
己魂,2016-03-26,6.9,3.3,10.8,11.9,7,3.7,-2.5,5.1,1019.7,10.1
己魂,2016-03-27,8.2,1.9,13.9,8.8,5.3,2.7,-2,5.3,1018.9,9.3
己魂,2016-03-28,11.4,0.2,18,8,5.2,2.3,0,6.2,1020.7,13.6
己魂,2016-03-29,14,10.2,15.7,15.3,10.3,5.5,6.2,9.7,1019.7,12.4
己魂,2016-03-30,14.4,10.3,18.8,8,5.4,2.4,10.6,12.8,1017.3,18.1
己魂,2016-03-31,13.4,10.5,17.1,6.8,4.5,1.7,10.7,12.8,1013.9,13.7
己魂,2016-04-01,15.9,9.7,23.1,9.3,4.4,2.2,6.8,10,1013.1,18.5
己魂,2016-04-02,14.7,8.5,19.2,5.9,3.9,1.8,11.5,13.7,1016.7,19.3
己魂,2016-04-03,16.1,14.2,17.6,8.9,5.7,1.6,15.4,17.5,1012.1,16.3
己魂,2016-04-04,13.4,12.3,15.9,10.2,5.3,2.7,12.4,14.4,1011,14.8
己魂,2016-04-05,13.2,10.2,17.1,6.4,4.4,1.8,10.3,12.6,1014.5,14.1
己魂,2016-04-06,14.2,9.2,18.5,10.5,7,2.9,12.6,14.8,1011.6,13.8
己魂,2016-04-07,16.1,14.2,19.3,16.8,10.7,5.1,12.8,15,1006.3,17.8
己魂,2016-04-08,15.3,11.5,22,8.2,4.2,1.7,10.6,12.9,1013.7,18
己魂,2016-04-09,14.7,9.7,20.9,6.2,4.5,1.7,6.9,10.2,1012.4,17.2
己魂,2016-04-10,15.6,10.1,22.8,6.2,4.3,1.9,7.2,10.2,1010.9,15.9
己魂,2016-04-11,13.5,10.4,15.6,9.6,5.6,3.3,9.4,11.8,1016.4,13.7
己魂,2016-04-12,15.2,12.3,17.5,11,7.3,3.6,11.7,14,1013.2,14.5
己魂,2016-04-13,16.3,13.7,20.3,11,7.1,2.6,15.2,17.3,1004.3,17.1
己魂,2016-04-14,17.7,13.2,24.2,9.9,6.5,2.8,10,12.7,1009.6,17.5
己魂,2016-04-15,16,11.9,19.1,9.3,6.3,3.4,9.3,12.2,1017,17.1
己魂,2016-04-16,17.1,11.3,19.7,16.7,11.5,5.2,15.9,18.1,1006.1,16.5
己魂,2016-04-17,13.5,9.9,17.3,22.3,15.9,5.5,6.7,9.9,1009.4,14.5
己魂,2016-04-18,13.6,9.3,19,8.9,5.6,2.4,5.5,9,1015.7,14.5
己魂,2016-04-19,13.8,8.8,18.3,11.5,4.2,2,8.2,10.9,1021.1,16.4
己魂,2016-04-20,15.6,8.5,19.6,7.7,4.5,2.4,12.9,15.1,1016.8,15.9
己魂,2016-04-21,17.3,12.2,22.3,10.7,7,3.7,15.2,17.3,1003.6,18
己魂,2016-04-22,15.5,10.7,20.5,7.7,5.4,1.8,13.1,15.2,1009,18.4
己魂,2016-04-23,15.4,12.5,18.9,6.1,4,1.3,14,16,1010.5,16.5
己魂,2016-04-24,16,12.1,19.8,8.4,5.2,2.6,8.5,11.4,1012,17.2
己魂,2016-04-25,15.9,12.5,20.3,8.2,5.3,2.9,9.6,12,1014.5,16.8
己魂,2016-04-26,16.1,12.2,19.7,9.1,5.2,2.1,13.7,15.9,1011.9,16.5
己魂,2016-04-27,14.2,12.6,15.2,11.9,7.2,4.9,13.5,15.5,1003,15
己魂,2016-04-28,13.7,12.2,15.9,9.2,5.1,2.5,11.6,13.7,1005.8,14.5
己魂,2016-04-29,14.5,9.1,21,6.9,4.3,2.2,8.7,11.4,1011.4,16.9
己魂,2016-04-30,15.2,8.3,22,9.7,6.8,3.5,7,10.3,1012.7,15.8
己魂,2016-05-01,17.8,12.6,22,10.9,7.1,4,12.5,15,1013.3,17.6
己魂,2016-05-02,18.4,16.2,20.3,11.7,7.7,3.6,16.8,19.2,1010.8,19.1
己魂,2016-05-03,17.1,14.3,19.3,17.9,12,6.6,12.9,15.2,1001.1,17.8
己魂,2016-05-04,19.5,11.2,26.7,15.9,9,4.2,7,10.2,1008.9,16.5
己魂,2016-05-05,16.7,10.3,20.2,10.1,6.3,3,13.9,16.2,1012.6,16.7
己魂,2016-05-06,18.1,16.4,22.8,8.3,5.5,2.2,17,19.4,1005.7,20.2
己魂,2016-05-07,18.1,14.1,22.9,12.8,7.8,3.4,6.5,9.8,1011.7,16.9
己魂,2016-05-08,16.7,13.6,20.7,8.1,4.1,2.1,11.6,14.2,1013,16.5
己魂,2016-05-09,15.3,14.1,17.4,6.7,4.2,2.2,14.3,16.3,1008.6,16.9
己魂,2016-05-10,14.8,13,16.3,14.5,7.9,2.6,13.7,15.8,1002.4,15.6
己魂,2016-05-11,15.1,11.9,19.8,13.2,9.2,3.4,11.9,14,1008.5,17.6
己魂,2016-05-12,17.3,11.5,22.1,6.9,4.7,2.9,13.8,15.8,1012.4,20.5
己魂,2016-05-13,17.1,11.2,23.6,8.7,4.9,2.1,12.6,14.7,1017.5,19.4
己魂,2016-05-14,17.4,14.5,20.4,8.1,4.9,2.6,14.9,17,1019.3,19.6
己魂,2016-05-15,19.2,15,22.6,13.2,8.5,3.4,17.8,20.5,1009.8,21
己魂,2016-05-16,15.2,11.2,20.6,15.8,8.4,4.7,6.1,9.6,1010.2,17.6
己魂,2016-05-17,19.2,10.4,25,9.9,5.9,3,4.7,9,1014,18.7
己魂,2016-05-18,18.5,11.3,24.6,6.7,3.9,1.9,7,10,1015.4,21.7
己魂,2016-05-19,17.6,12,22.4,5.7,4,1.7,14.4,16.6,1015.2,21.7
己魂,2016-05-20,19.3,14,22.7,8.1,5.3,2.9,16.1,18.3,1014.5,23.1
己魂,2016-05-21,18.7,16.8,21.3,8.3,5.4,2.9,16.3,18.5,1014.9,20.7
己魂,2016-05-22,19,17,21.2,6.9,4.2,2,16.9,19.3,1013.6,20.6
己魂,2016-05-23,20.7,17,23.4,5.3,3.3,1.6,18.3,21.1,1011.3,26
己魂,2016-05-24,18.8,15.8,21.3,8.7,5,2.7,17,19.5,1006,20.3
己魂,2016-05-25,19.4,14.2,25.5,8.4,5.4,2,14.2,16.3,1008.3,20.7
己魂,2016-05-26,19.9,14,24.8,6.7,4.8,1.5,15.3,17.5,1008.2,20.9
己魂,2016-05-27,19.2,17.5,23.1,4.4,3.3,1.2,17.4,19.9,1009.4,22
己魂,2016-05-28,18.4,16.8,22.1,6.7,3.7,1.9,16,18.2,1006.3,21.2
己魂,2016-05-29,18.1,16.6,20.2,10.4,6.5,2.2,15.4,17.6,1002.9,19
己魂,2016-05-30,21.6,17.1,27.6,9.6,6.4,2.9,13.6,15.7,1005.1,21.2
己魂,2016-05-31,21.3,17,26.9,7.2,5.4,2.5,14,16.3,1005.9,21.4
己魂,2016-06-01,19.5,17.5,21.3,9.2,5.8,2.8,14.6,16.8,1004.7,19.2
己魂,2016-06-02,18.8,15.9,22.6,8.5,5.2,3.1,13.8,15.8,1008.9,23
己魂,2016-06-03,20.4,15.6,23.8,5.4,3.7,2,17,19.6,1008.8,23.7
己魂,2016-06-04,18.3,16.2,21.2,13.9,8.6,4.8,16.6,18.9,1005.3,19.2
己魂,2016-06-05,19.2,17.1,21.4,10.4,6.2,3.7,16.6,18.9,1007.9,19.5
己魂,2016-06-06,19.4,18.4,20,9.6,5.2,3.3,18.9,21.8,1009.4,19.5
己魂,2016-06-07,20.3,17.9,23.1,6,4.1,1.7,19.3,22.4,1008.3,22.1
己魂,2016-06-08,19.9,17.3,22.1,4.8,3.1,1.1,18.6,21.4,1008,21.2
己魂,2016-06-09,20.3,17.8,24.6,6,3.5,1.1,18.2,20.8,1009,23
己魂,2016-06-10,21.6,17.3,25,4.7,3.1,1.5,19.5,22.7,1010.3,24.7
己魂,2016-06-11,22.6,20.7,24.2,4.8,2.5,1.2,21.8,26.1,1008.5,24.2
己魂,2016-06-12,22.2,20.6,23.3,5.2,3.2,1.5,21.6,25.8,1003.3,22.9
己魂,2016-06-13,22.5,20.4,27,8.1,4.1,1.9,19.9,23.3,1000.2,24
己魂,2016-06-14,21.7,18.7,25.2,7.4,5.1,2,18.7,21.5,1002.2,25.4
己魂,2016-06-15,22.6,18.7,25.5,9.6,6.4,3.8,20.6,24.3,1000.4,22.5
己魂,2016-06-16,22.1,19,26.9,13.1,7.6,3.3,18.1,20.9,999.6,22.6
己魂,2016-06-17,21.3,17.5,25.6,6.8,4.8,2.3,18,20.7,1007.8,25.7
己魂,2016-06-18,22,18.2,24.8,7.7,4.6,2.7,20.7,24.5,1009.8,22.3
己魂,2016-06-19,23.7,22,27.2,8.8,6,2.7,22.2,26.7,1006.9,26.3
己魂,2016-06-20,22.8,21.4,24.2,10.3,6.7,2.7,22.2,26.7,1004,23.3
己魂,2016-06-21,23.4,20.3,26.1,5.6,3.5,1.5,21.3,25.3,1005.5,23.2
己魂,2016-06-22,23.1,21.7,24.6,9.7,6.8,1.9,22.7,27.7,1002.4,23.7
己魂,2016-06-23,22.8,21.6,24.6,6.2,3.6,1.7,21.8,26.1,1004.3,24.8
己魂,2016-06-24,24,22,27.7,12.3,8.6,4.2,21.7,26.1,999.4,23.8
己魂,2016-06-25,22.4,20.5,25.4,9.6,6.2,3,18,20.7,1005.7,22.8
己魂,2016-06-26,22.6,16.1,27.7,6.6,3.6,1.4,19,22.1,1008.8,24.5
己魂,2016-06-27,19.5,17.6,21.8,7.4,4.6,1.1,18.5,21.4,1008.3,21.3
己魂,2016-06-28,20.4,18.8,22.1,4.8,3.2,1.3,19.6,22.8,1008.8,21.8
己魂,2016-06-29,22.1,21,23.6,5.4,3.4,1.1,21.7,25.9,1009.2,23
己魂,2016-06-30,23.3,21.2,25.4,8.7,5.8,3.2,22.1,26.5,1009.8,24.6
己魂,2016-07-01,24,22.4,25,12,8,4.5,23.5,28.9,1006.3,23.8
己魂,2016-07-02,23.2,21.4,25.3,13.9,8.5,4.4,22.7,27.6,1005.4,23.7
己魂,2016-07-03,23.5,21.3,25.7,8.4,5.4,1.6,23.1,28.4,1007.4,24
己魂,2016-07-04,25.2,24.1,27.4,12.1,7.9,4.8,24.8,31.3,1008.3,25.5
己魂,2016-07-05,25.4,24.2,26.2,9.1,5.9,4.1,24.9,31.6,1011.2,26.4
己魂,2016-07-06,26.3,23.4,30.2,9.2,5.8,3.6,24.4,30.7,1013.1,28.3
己魂,2016-07-07,25.5,21.3,29.1,5,3.2,1.3,24,29.9,1012,29.6
己魂,2016-07-08,25.3,23.3,28.5,7.9,4.9,2.7,23.3,28.7,1006.7,29.1
己魂,2016-07-09,25,22.9,27.7,6,4,2.2,22.6,27.4,1004.4,29.4
己魂,2016-07-10,24.1,21.9,26.1,7.7,3.9,1.1,22.5,27.2,1002.9,25.5
己魂,2016-07-11,23.5,21.4,24.6,5.2,3.5,1.4,22.9,27.9,1002.3,24.7
己魂,2016-07-12,24.3,21.9,26.4,12.7,7,2.9,23.8,29.5,1000.7,24.3
己魂,2016-07-13,25.7,23.8,28.1,9.2,5.9,1.9,25,31.6,999.6,27
己魂,2016-07-14,25.5,22.5,30.7,9.5,5.4,2.2,22.4,27.1,1000.4,27.5
己魂,2016-07-15,25.1,21.8,27.5,9.2,6.3,3.4,21.9,26.3,1001.8,26.2
己魂,2016-07-16,26,22,31.2,9.5,5.9,2.6,23.7,29.6,1000.1,26.5
己魂,2016-07-17,24.1,21.2,27.6,4.5,2.9,1.4,21.5,25.7,1006.6,26.3
己魂,2016-07-18,24.4,21.4,27.1,4.6,3.2,1.1,21.9,26.3,1008,25.5
己魂,2016-07-19,26.2,23.6,28.8,7.5,4.9,2.9,24.1,30.1,1008.5,26.9
己魂,2016-07-20,26.4,25.3,29,8.2,5.3,3.6,23.3,28.7,1009.7,26.8
己魂,2016-07-21,26.3,25.5,27.6,9.7,6.8,4.9,23.4,28.8,1009.1,26.3
己魂,2016-07-22,26.4,25.8,27.1,7.3,4.8,3.3,23.7,29.4,1008.2,26
己魂,2016-07-23,27,25.5,29.8,6.4,4.7,2.4,24.5,30.8,1007.9,27.9
己魂,2016-07-24,28.1,24.9,31.6,7.4,5.5,2.5,25.5,32.6,1008.8,30.2
己魂,2016-07-25,28.6,26.1,32.2,6.2,4.5,2.3,25.1,31.9,1009.2,31.1
己魂,2016-07-26,28.7,26.6,31.1,8.6,5.8,3,25.8,33.2,1006.5,31.5
己魂,2016-07-27,29.3,27.3,33,11.6,7.3,4.7,25.8,33.2,1004.7,31.3
己魂,2016-07-28,29.5,26.5,33.2,8.8,6.4,4,25.9,33.4,1005.6,31.3
己魂,2016-07-29,28.6,26,32.1,7.5,5.1,3.1,25.3,32.2,1007.8,32.8
己魂,2016-07-30,29,26,32.8,5.5,3.9,2,24.8,31.4,1009.5,33.9
己魂,2016-07-31,28.6,25.4,32.8,7,4.6,1.9,25.3,32.2,1009.3,34.2
己魂,2016-08-01,28.4,25.1,33,6.2,4.2,1.8,24,29.9,1008.1,33.4
己魂,2016-08-02,28.4,25.3,32.2,7.9,5.2,2.2,24.1,30.1,1006.5,32.8
己魂,2016-08-03,27,25.1,30,3.9,2.6,1.1,24.5,30.8,1006.7,29
己魂,2016-08-04,27.2,24.9,31.4,9.7,5.2,1.8,24.8,31.3,1006.4,33.2
己魂,2016-08-05,28.7,25.3,31.7,8,5,2.3,25.8,33.1,1007.1,30.9
己魂,2016-08-06,28.7,25.7,32.4,6.7,4.6,1.9,25.7,33,1005.8,35.3
己魂,2016-08-07,28.2,24.3,32.4,7.3,4.5,1.6,24.7,31.1,1005.2,31
己魂,2016-08-08,28.6,25.3,32.5,5.8,3.9,1.6,24.3,30.4,1005,32.8
己魂,2016-08-09,29.3,25.8,33.1,7.9,4.8,2.8,25.7,33.1,1005.6,31.7
己魂,2016-08-10,29.4,26.4,32.5,7.1,4.5,2.5,25.3,32.2,1007.5,36.3
己魂,2016-08-11,28.9,24.5,33.8,6.1,4.3,2,23.8,29.5,1007.6,36.1
己魂,2016-08-12,29.5,24.7,33.6,6.2,4.4,1.8,24.4,30.5,1005.7,36
己魂,2016-08-13,29.6,25,33.9,7,5.1,2.1,22.8,27.9,1004.3,35.5
己魂,2016-08-14,29.6,25.7,34.7,9.8,4.8,2.8,23.5,29,1002.8,33.5
己魂,2016-08-15,29.8,26.3,35.3,9.2,5.1,2.9,23.2,28.4,1000.6,31.2
己魂,2016-08-16,29.1,25.6,33.7,10,4.8,2.8,22.1,26.6,999.7,35.2
己魂,2016-08-17,28.5,24.5,32.8,7.6,4.8,2.6,23.1,28.2,1001.2,36.6
己魂,2016-08-18,29.1,26,32.9,8.7,5.4,3,24.7,31.1,1003,33.1
己魂,2016-08-19,28.9,25.5,32.8,11.3,7.4,2.2,25.5,32.7,1003.8,30.4
己魂,2016-08-20,27.3,25.5,29.9,7.8,4.5,1.8,24.3,30.5,1003.4,27.4
己魂,2016-08-21,28.2,25.6,30.8,9.9,5.5,3.2,23.5,29,1003.2,32.3
己魂,2016-08-22,28.5,25.6,32.5,8.3,5.3,2.5,24,29.9,1004,35.2
己魂,2016-08-23,28.6,25.4,32.5,8.2,5.3,2.6,24.2,30.1,1003.8,35.3
己魂,2016-08-24,28.6,26.3,31,9.2,6,3.3,23.6,29.2,1003.7,35.5
己魂,2016-08-25,28.2,25.6,31.7,8.7,5.1,2.4,24.9,31.5,1003.1,37.2
己魂,2016-08-26,28.3,25.3,33.8,10.6,6.2,3.6,21.9,26.3,1004.1,36.1
己魂,2016-08-27,25.3,23.1,26.2,11.9,6.6,5.3,21,24.9,1004,27.2
己魂,2016-08-28,21.7,19.7,24.3,11.2,6.5,3.8,19,22,999.3,21.9
己魂,2016-08-29,22.9,20.2,26.1,14.3,7.2,3.9,16.2,18.5,999.9,21.7
己魂,2016-08-30,24.1,21.7,27.2,14,8.2,4.8,16.4,18.6,996.4,23.6
己魂,2016-08-31,25.7,21.3,31.5,13.5,8,4.5,16,18.3,997.6,26.2
己魂,2016-09-01,25.2,20.9,29.1,10.9,7.3,3.9,21.8,26.2,1002.1,26.1
己魂,2016-09-02,22.4,20.9,23.2,9.5,6.1,2.2,21.6,25.8,1003.1,22.6
己魂,2016-09-03,23.8,21.8,26.4,6.3,4.3,1.7,22.2,26.7,1005.6,25.3
己魂,2016-09-04,25.8,23.6,28.6,8.8,5.6,3,22.6,27.5,1007.2,27.5
己魂,2016-09-05,26,23.5,29.2,6.2,3.6,1.6,23.2,28.4,1007.9,27.5
